twelfth,month name,Year,moonsign,moon,sun,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,eris,,,,,
155,,2021,virgo,4,0,0,0,0,0,0,0,0,0,0,,,,,
156,march,2021,libra,17,0,0,0,0,0,0,0,0,0,0,,,,,
157,,2021,scorpio,2,0,0,0,0,0,0,0,0,0,0,,,,,
158,,2021,sag,28,0,0,0,0,0,0,0,0,0,0,,,,,
159,,2021,cap,12,0,0,0,0,0,0,0,0,26,0,,,,,
160,,2021,aquarius,22,0,23,0,0,18,9,0,0,0,0,,,,,
161,,2021,pisces,4,21,0,18,0,0,0,0,20,0,0,,,,,
162,,2021,aries,24,0,0,0,0,0,0,0,0,0,23,,,,,
163,,2021,taurus,6,0,0,0,0,0,0,8,0,0,0,,,,,
164,,2021,gemini,23,0,0,0,9,0,0,0,0,0,0,,,,,
165,,2021,cancer,5,0,0,0,0,0,0,0,0,0,0,,,,,
166,,2021,leo,27,0,0,0,0,0,0,0,0,0,0,,,,,
167,,2021,virgo,12,0,0,0,0,0,0,0,0,0,0,,,,,
168,,2021,libra,26,0,0,0,0,0,0,0,0,0,0,,,,,
169,,2021,scorpio,11,0,0,0,0,0,0,0,0,0,0,,,,,
170,april,2021,sag,25,0,0,0,0,0,0,0,0,0,0,,,,,
171,,2021,cap,9,,0,0,0,0,0,0,0,26,0,,,,,
172,,2021,aquarius,19,0,0,0,0,24,9,0,0,0,0,,,,,
173,,2021,pisces,1,0,0,0,0,0,0,0,21,0,0,,,,,
174,,2021,aries,21,22,14,26,0,0,0,0,0,0,23,,,,,
175,,2021,taurus,3,0,0,0,0,0,0,9,0,0,0,,,,,
176,,2021,gemini,20,0,0,0,26,0,0,0,0,0,0,,,,,
177,,2021,cancer,2,0,0,0,0,0,0,0,0,0,0,,,,,
178,,2021,leo,22,0,0,0,0,0,0,0,0,0,0,,,,,
179,,2021,virgo,6,0,0,0,0,0,0,0,0,0,0,,,,,
180,,2021,libra,19,0,0,0,0,0,0,0,0,0,0,,,,,
